FID *,Name,Region,State,MAP_TYPE,MAP_LEVEL,PROJECT,MAP_UNIT_S,MAP_UNIT_N,SUBSECTION,ecological.section,ecological.province
33,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ap,Forks of Salmon,267,M261A,M261
34,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Aq,North Trinity Mountain,274,M261A,M261
35,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Au,Rattlesnake Creek,277,M261A,M261
36,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Ag,Hardpan Terraces,755,262A,262
37,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ac,Amargosa Desert-Pahrump Valley,757,322A,322
38,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Aq,Westside Alluvial Fans and Terraces,562,262A,262
39,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Dc,Antelope-Mason Valleys and Hills,565,341D,341
40,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Ag,Leeward Hills,566,261A,261
41,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bj,Fontana Plain-Calimesa Terraces,947,M262B,M262
42,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261El,Tahoe Valley,521,M261E,M261
43,California,Pacific,CA,ECUN,SUBS,ECOMAP07,263Aj,Coastal Hills-Santa Rosa Plain,523,263A,263
44,California,Pacific,CA,ECUN,SUBS,ECOMAP07,263Al,Marin Hills and Valleys,524,263A,263
45,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ek,Glaciated Batholith and Volcanic Flows,525,M261E,M261
46,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Da,Carson Valley-Truckee Meadows,528,341D,341
47,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Db,Pine Nut Mountains,530,341D,341
48,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Em,Batholith and Volcanic Flows,533,M261E,M261
49,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Cc,Imperial Valley,1028,322C,322
50,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Cd,East Mesa-Sand Hills,1030,322C,322
51,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ah,Scott Valley,258,M261A,M261
52,California,Pacific,CA,ECUN,SUBS,ECOMAP07,263Af,Central Franciscan,260,263A,263
53,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Gj,Big Valley Mountains,330,M261G,M261
54,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Gl,Adin Mountains and Valleys,331,M261G,M261
55,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Gg,Pit River Valley,332,M261G,M261
56,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Ak,South Coastal Santa Lucia Range,734,261A,261
57,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Ag,Kettleman Hills and Valleys,735,M262A,M262
58,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Av,Tulare Basin,737,262A,262
59,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Ah,Paso Robles Hills and Valleys,739,M262A,M262
60,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Bb,Santa Ynez-Sulphur Mountains,847,261B,261
61,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Ba,San Rafael-Topatopa Mountains,849,M262B,M262
62,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Bi,Coastal Hills,961,261B,261
63,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bl,San Jacinto Foothills-Cahuilla Mountains,964,M262B,M262
64,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ba,Cadiz-Vidal Valleys,966,322B,322
65,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Bh,Southern Channel Islands,967,261B,261
66,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Bf,Gila Bend Plain Desert Shrubland,1009,322B,322
67,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bo,Palomar-Cuyamaca Peak,1011,M262B,M262
68,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Be,Chocolate Mountains and Valleys,1012,322B,322
69,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Bd,Palo Verde Valley and Mesa,1016,322B,322
70,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ar,Trinity Mountain-Hayfork,283,M261A,M261
71,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Aj,Upper Scott Mountains,285,M261A,M261
72,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Di,Medicine Lake Highlands,286,M261D,M261
73,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Gb,Devil's Garden,289,M261G,M261
74,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ai,Eastern Klamath Mountains,300,M261A,M261
75,California,Pacific,CA,ECUN,SUBS,ECOMAP07,263Ag,Coastal Franciscan,303,263A,263
76,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ac,Oregon Mountain,305,M261A,M261
77,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Gd,Big Valley,311,M261G,M261
78,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Dj,Hat Creek Rim,316,M261D,M261
79,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Aa,North Valley Alluvium,395,262A,262
80,California,Pacific,CA,ECUN,SUBS,ECOMAP07,342Bc,Honey Lake Basin-Pyramid Lake Basin,405,342B,342
81,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Eb,Fredonyer Butte-Grizzly Peak,410,M261E,M261
82,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ea,Diamond Mountains-Crystal Peak,417,M261E,M261
83,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ed,Greenville-Graeagle,418,M261E,M261
84,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ef,Granitic and Metamorphic Foothills,420,M261E,M261
85,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ee,Bucks Lake,428,M261E,M261
86,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Cc,Dunnigan Hills,434,M261C,M261
87,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Ac,Butte Sink-Sutter Basin,435,262A,262
88,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ec,Frenchman,440,M261E,M261
89,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Fb,Lower Foothills Metamorphic Belt,443,M261F,M261
90,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Ad,Colusa Basin,445,262A,262
91,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Gi,Likely Mountain,343,M261G,M261
92,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Cb,Tehama Terraces,361,M261C,M261
93,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Fa,Tuscan Flows,363,M261F,M261
94,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Dm,Lassen-Almanor,364,M261D,M261
95,California,Pacific,CA,ECUN,SUBS,ECOMAP07,342Bd,Cottonwood-Skedaddle Mountains,367,342B,342
96,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ca,Western Foothills,369,M261C,M261
97,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Dd,Blacks Mountain-Susanville Peak,373,M261D,M261
98,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Gm,Eagle Lake-Observation Peak,374,M261G,M261
99,California,Pacific,CA,ECUN,SUBS,ECOMAP07,342Be,Madeline Plain,375,342B,342
100,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Ad,Eastern Hills,579,M262A,M262
101,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Aa,Fremont-Livermore Hills and Valleys,583,M262A,M262
102,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Ae,Santa Clara Valley,586,261A,261
103,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Eh,Upper Batholith and Volcanic Flows,588,M261E,M261
104,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Ai,Carrizo Plain,806,M262A,M262
105,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Aj,Caliente Range-Cuyama Valley,810,M262A,M262
106,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Al,Providence Mountains-Lanfair Valley,908,322A,322
107,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Be,Simi Valley-Santa Susana Mountains,909,261B,261
108,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262As,Manteca-Merced Alluvium,595,262A,262
109,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Af,River Alluvium,454,262A,262
110,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Bd,Clear Lake Hills and Valleys,457,M261B,M261
111,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Dk,Fort Sage Mountains-Lemmon Valley,459,341D,341
112,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Eg,Upper Foothills Metamorphic Belt,463,M261E,M261
113,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ei,Sierra Valley,470,M261E,M261
114,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Ah,Yolo Alluvial Fans,474,262A,262
115,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bi,Little San Bernardino-Bighorn Mountains,940,M262B,M262
116,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bg,San Gorgonio Mountains,943,M262B,M262
117,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Ao,Camanche Terraces,538,262A,262
118,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Aj,Delta Basins,540,262A,262
119,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Al,Delta,543,262A,262
120,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Er,Eastern Slopes,547,M261E,M261
121,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Ac,East Bay Hills-Mt. Diablo,548,261A,261
122,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Aa,Suisun Hills and Valleys,549,261A,261
123,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Ab,East Bay Terraces and Alluvium,552,261A,261
124,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Dd,Sweetwater Mountains-Pine Grove Hills,572,341D,341
125,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Af,Santa Cruz Mountains,576,261A,261
126,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Fd,Southern Granitic Foothills,811,M261F,M261
127,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Az,Elk Hills and South Valley Terraces,812,262A,262
128,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Al,Santa Maria Valley,817,261A,261
129,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ag,High Desert Plains and Hills,821,322A,322
130,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Af,Searles Valley-Owlshead Mountains,830,322A,322
131,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Ba,Santa Ynez Valleys and Hills,831,261B,261
132,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Es,Tehachapi-Piute Mountains,834,M261E,M261
133,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bb,Northern Transverse Ranges,858,M262B,M262
134,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ah,Mojave Valley-Granite Mountains,860,322A,322
135,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Fe,San Emigdio Mountains,861,M261F,M261
136,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ai,Silurian Valley-Devil's Playground,864,322A,322
137,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Aj,Kingston Range-Valley Wells,866,322A,322
138,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Am,Piute Valley-Sacramento Mountains,870,322A,322
139,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Eo,Glaciated Batholith,602,M261E,M261
140,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Ab,Western Diablo Range,604,M262A,M262
141,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Ac,Diablo Range,605,M262A,M262
142,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341De,Bodie Hills-Excelsior Mountains,606,341D,341
143,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Eq,Upper Batholith,623,M261E,M261
144,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Df,Mono Valley,626,341D,341
145,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262At,San Joaquin Basin,638,262A,262
146,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ep,Lower Batholith,639,M261E,M261
147,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Ah,Watsonville Plain-Salinas Valley,641,261A,261
148,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Dh,Crowley Flowlands,643,341D,341
149,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Dl,Glass Mountain,649,341D,341
150,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Fc,Lower Granitic Foothills,651,M261F,M261
151,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Be,Upper San Gabriel Mountains,928,M262B,M262
152,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bh,Upper San Gorgornio Mountains,948,M262B,M262
153,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bf,Santa Ana Mountains,949,M262B,M262
154,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bk,Perris Valley and Hills,958,M262B,M262
155,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ap,Pinto Basin and Mountains,972,322A,322
156,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ca,Coachella Valley,975,322C,322
157,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bm,San Jacinto Mountains,976,M262B,M262
158,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Bj,Coastal Terraces,978,261B,261
159,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bp,Desert Slopes,980,M262B,M262
160,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Bb,Palen-Riverside Mountains,1000,322B,322
161,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bn,Western Granitic Foothills,1001,M262B,M262
162,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Bc,Chuckwalla Valley,1002,322B,322
163,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Fe,Cosa-Argus Ranges,777,341F,341
164,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Ax,Antelope Plain,778,262A,262
165,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Ay,South Valley Alluvium and Basins,779,262A,262
166,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Ff,Panamint Range,791,341F,341
167,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Ae,Interior Santa Lucia Range,705,M262A,M262
168,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Fb,Inyo Mountains,707,341F,341
169,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Fc,Saline Valley-Cottonwood Mountains,708,341F,341
170,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Fd,Northern Amargosa-Grapevine Mountains,717,341F,341
171,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ab,Death Valley,718,322A,322
172,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Aa,Owens Valley,719,322A,322
173,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Di,Benton-Upper Owens Valleys,658,341D,341
174,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Dj,White Mountains,659,341D,341
175,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Af,Gabilan Range,661,M262A,M262
176,California,Pacific,CA,ECUN,SUBS,ECOMAP07,341Fa,Silver Peak Range-Fish Lake Valley,664,341F,341
177,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Au,Granitic Alluvial Fans and Terraces,670,262A,262
178,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Aj,North Coastal Santa Lucia Range,676,261A,261
179,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Aw,Panoche and Cantua Fans and Basins,687,262A,262
180,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Eu,Kern Plateau,771,M261E,M261
181,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ak,Ivanpah Valley,878,322A,322
182,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bc,Sierra Pelona-Mint Canyon,893,M262B,M262
183,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Bd,Oxnard Plain-Santa Paula Valley,897,261B,261
184,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Bc,Northern Channel Islands,898,261B,261
185,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Bd,San Gabriel Mountains,923,M262B,M262
186,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ao,Bullion Mountains-Bristol Lake,924,322A,322
187,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322An,Lucerne-Johnson Valleys and Hills,925,322A,322
188,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Bf,Santa Monica Mountains,926,261B,261
189,California,Pacific,CA,ECUN,SUBS,ECOMAP07,261Bg,Los Angeles Plain,927,261B,261
190,Hawaii,Pacific,HI,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null,<Nul
191,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Ak,West Yellowstone-Madison Valley,238,M331A,M331
192,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Di,Mountain Home Uplands,240,342D,342
193,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Au,Middle and South Forks Boise River,242,M332A,M332
194,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331As,Island Park,247,M331A,M331
195,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Fd,North Fork Big Lost River-Copper Basin-White Knob Mountains,248,M332F,M332
196,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Ab,Pitchstone Plateau,251,M331A,M331
197,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Ca,Owyhee Basalt Plain,253,342C,342
198,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Enn,Gravelly-Snowcrest Mountains,192,M332En,M332E
199,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342He,Powder-Burnt River Valleys,193,342H,342
200,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Fh,East Fork Salmon River Mountains,205,M332F,M332
201,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Ap,Madison Mountains,206,M331A,M331
202,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Er,Southern Beaverhead Mountains,209,M332E,M332
203,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ag,Boise Ridge,210,M332A,M332
204,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Abb,Stanley Basin-Sawtooth Valley,213,M332Ab,M332A
205,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Aaa,Cabin Creek Peak,214,M332Aa,M332A
206,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Eb,Northern Lost River Range Mountains,216,M332E,M332
207,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Af,Boise Basin Lands,219,M332A,M332
208,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332At,Sawtooth Range,220,M332A,M332
209,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ez,Pahsimeroi-Round-Big Lost-Little Lost River Valleys,221,M332E,M332
210,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ad,South Fork Payette Canyon and Stream Cut Lands Canyon,224,M332A,M332
211,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Ch,Owyhee Mountains,228,342C,342
212,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ek,Southern Lemhi Range,229,M332E,M332
213,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ae,Upper Middle Fork Boise River,230,M332A,M332
214,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ay,South Fork Boise River Uplands,255,M332A,M332
215,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Fb,Smoky Mountains,256,M332F,M332
216,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Dg,Blackfoot Mountains,350,342D,342
217,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333Ad,Western Selkirk Maritime Forest,18,M333A,M333
218,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333Ab,Selkirk Mountains,20,M333A,M333
219,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333Aa,Inland Maritime Foothills and Valley,24,M333A,M333
220,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333Ba,Purcell-North Cabinet Mountains,25,M333B,M333
221,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333Ai,Spokane Valley Outwash Plains,45,M333A,M333
222,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333Da,Coeur d'Alene Mountains,48,M333D,M333
223,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333Ac,Northern Idaho Hills and Low Mountain,50,M333A,M333
224,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333Dc,Clark Fork Valley and Mountains,51,M333D,M333
225,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,331Af,Palouse Hills,55,331A,331
226,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333Db,St. Joe-Bitterroot Mountains,58,M333D,M333
227,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333Dd,North Idaho Hills and Valleys,59,M333D,M333
228,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,331Ac,Lower Snake and Clearwater Canyons,65,331A,331
229,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M333De,Clearwater Mountains and Breaks,73,M333D,M333
230,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,331Aa,Camas-Weippe Basalt Plateaus,79,331A,331
231,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Gd,Snake River Canyons and Dissected Uplands,86,M332G,M332
232,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ba,Bitterroot Glaciated Canyons,95,M332B,M332
233,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Aa,Lochsa-Salmon Breaklands,98,M332A,M332
234,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ac,Central Idaho Mountains and Basins,110,M332A,M332
235,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ab,Central Idaho Glaciated Mountains,118,M332A,M332
236,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Bc,South Anaconda-Bitterroot Mountains,125,M332B,M332
237,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ao,Salmon River Canyonlands,127,M332A,M332
238,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332An,Bruin Mountain,132,M332A,M332
239,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Am,Fitsum Peak Glaciated Lands,136,M332A,M332
240,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332All,Chamberlain Basin,138,M332Al,M332A
241,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Aj,Ant Butte-Meadows Valley,139,M332A,M332
242,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ej,Southwest Montana Intermontane Basins and Valleys,141,M332E,M332
